"Language","File","N","MaximumDegree","M/N","N/M","SumDegrees","SumDegreesLogarithm","C"
"Arabic","./data/degree_sequences/Arabic_in-degree_sequence.txt","21065","2249","3.35100878234037","0.298417600475995","70589","10267.6722865278","166666.511222724"
"Basque","./data/degree_sequences/Basque_in-degree_sequence.txt","11868","576","2.18031681833502","0.458648941103725","25876","4091.11231551573","34741.4359297151"
"Catalan","./data/degree_sequences/Catalan_in-degree_sequence.txt","35524","5522","5.74527080283752","0.174056199318945","204095","22918.8562641424","673198.974014482"
"Chinese","./data/degree_sequences/Chinese_in-degree_sequence.txt","35563","7645","5.20240137221269","0.192218925156611","185013","24381.8795547633","495679.542382416"
"Czech","./data/degree_sequences/Czech_in-degree_sequence.txt","66014","4727","3.97215742115309","0.25175235872442","262218","34813.4121053962","673514.774811227"
"English","./data/degree_sequences/English_in-degree_sequence.txt","29172","4547","6.8572946661182","0.14583010482851","200041","23222.1566078635","615149.477881235"
"Greek","./data/degree_sequences/Greek_in-degree_sequence.txt","12704","1081","3.52392947103275","0.283774124374553","44768","5948.34206256376","108728.711193341"
"Hungarian","./data/degree_sequences/Hungarian_in-degree_sequence.txt","34600","6540","3.09763005780347","0.322827445931068","107178","12284.4853187877","290541.698482209"
"Italian","./data/degree_sequences/Italian_in-degree_sequence.txt","13433","2678","4.23055162659123","0.236375794048813","56829","6506.7453242292","167881.332660432"
"Turkish","./data/degree_sequences/Turkish_in-degree_sequence.txt","20403","6704","2.31269911287556","0.432395201966685","47186","5591.58932308973","111506.755250113"
